St_Ivona,Chl.a..ug.L.,Pro.biomass..umol.C.L.2,Syn.biomass..umol.C.L.2,Peuk.biomass..umol.C.L.,Neuk.biomass..umol.C.L.
NH01,0.14,0.39,0.01,0.13,0.04
NH03,0.09,0.3,0.01,0.09,0.02
NH04,0.1,0.37,0.02,0.11,0.04
NH05,0.22,0.51,0.1,0.39,0.09
NH06,0.25,0.62,0.12,0.81,0.06
NH07,0.44,0.59,0.11,0.7,0.11
NH08,0.28,0.49,0.09,0.78,0.19
NH09,0.55,0.73,0.14,0.99,0.12
NH10,0.35,0.55,0.12,0.57,0.05
NH11,0.43,0.55,0.14,0.82,0.16
NH12,0.1,0.31,0.01,0.14,0.06
NH13,0.09,0.3,0.01,0.09,0.02
NH14,0.15,0.42,0,0.11,0.04
AE01,1.29,0,0.35,3.28,2.19
AE02,0.28,0,0.47,0.67,0.59
AE03,0.56,0.02,0.37,1.35,0.84
AE04,1.07,0,0.35,3.28,2.19
AE05,0.2,0.05,0.44,0.51,0.17
AE06,0.07,0.5,0.17,0.24,0.06
AE07,0.05,0.31,0.13,0.16,0.07
AE08,0.05,0.34,0.06,0.11,0.1
AE09,0.05,0.36,0.08,0.02,0.14
AE10,0.05,0.26,0.09,0.18,0.1
AE12,0.05,0.17,0.3,0.19,0.12